Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
88	 	-5	 	-2	 	-1.571	 	1	 	2	 	 	-3.222
89	 	-5	 	-2	 	-1.571	 	2	 	2	 	 	32.49
90	 	-5	 	-2	 	-0.7854	 	0	 	0	 	 	37.27
91	 	-5	 	-2	 	-0.7854	 	1	 	0	 	 	-2.706
92	 	-5	 	-2	 	-0.7854	 	2	 	0	 	 	-2.603
93	 	-5	 	-2	 	0	 	0	 	1	 	 	-2.513
94	 	-5	 	-2	 	0	 	1	 	1	 	 	26.6
95	 	-5	 	-2	 	0	 	2	 	1	 	 	-2.586
96	 	-5	 	-2	 	0.7854	 	0	 	0	 	 	32.04
97	 	-5	 	-2	 	0.7854	 	1	 	0	 	 	-2.772
98	 	-5	 	-2	 	0.7854	 	2	 	0	 	 	-2.826
99	 	-5	 	-2	 	1.571	 	0	 	1	 	 	-3.421
100	 	-5	 	-2	 	1.571	 	1	 	1	 	 	29.02
101	 	-5	 	-2	 	1.571	 	2	 	1	 	 	-3.491
102	 	-5	 	-2	 	2.356	 	0	 	1	 	 	-7.169
103	 	-5	 	-2	 	2.356	 	1	 	1	 	 	23.73
104	 	-5	 	-2	 	2.356	 	2	 	1	 	 	-4.167
105	 	-5	 	-2	 	3.142	 	0	 	1	 	 	-6.319
106	 	-5	 	-2	 	3.142	 	1	 	1	 	 	15.79
107	 	-5	 	-2	 	3.142	 	2	 	1	 	 	-6.48
108	 	-5	 	-1	 	-3.142	 	0	 	2	 	 	-4.949
109	 	-5	 	-1	 	-3.142	 	1	 	2	 	 	-5.189
110	 	-5	 	-1	 	-3.142	 	2	 	2	 	 	13.37
111	 	-5	 	-1	 	-2.356	 	0	 	2	 	 	-5.04
112	 	-5	 	-1	 	-2.356	 	1	 	2	 	 	-4
113	 	-5	 	-1	 	-2.356	 	2	 	2	 	 	25.42
114	 	-5	 	-1	 	-1.571	 	0	 	2	 	 	-3.258
