Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
80	 	-1.5	 	-0.5	 	3.142	 	2	 	1	 	 	-3.994
81	 	-1.5	 	0	 	-3.142	 	0	 	2	 	 	-3.895
82	 	-1.5	 	0	 	-3.142	 	1	 	2	 	 	-3.717
83	 	-1.5	 	0	 	-3.142	 	2	 	2	 	 	26.16
84	 	-1.5	 	0	 	-2.356	 	0	 	2	 	 	-3.707
85	 	-1.5	 	0	 	-2.356	 	1	 	2	 	 	-3.034
86	 	-1.5	 	0	 	-2.356	 	2	 	2	 	 	34.43
87	 	-1.5	 	0	 	-1.571	 	0	 	2	 	 	-2.346
88	 	-1.5	 	0	 	-1.571	 	1	 	2	 	 	-2.317
89	 	-1.5	 	0	 	-1.571	 	2	 	2	 	 	39.51
90	 	-1.5	 	0	 	-0.7854	 	0	 	2	 	 	-1.69
91	 	-1.5	 	0	 	-0.7854	 	1	 	2	 	 	-1.632
92	 	-1.5	 	0	 	-0.7854	 	2	 	2	 	 	44.55
93	 	-1.5	 	0	 	0	 	0	 	2	 	 	-0.9618
94	 	-1.5	 	0	 	0	 	1	 	2	 	 	-1.03
95	 	-1.5	 	0	 	0	 	2	 	2	 	 	49.5
96	 	-1.5	 	0	 	0.7854	 	0	 	0	 	 	53.73
97	 	-1.5	 	0	 	0.7854	 	1	 	0	 	 	-1.14
98	 	-1.5	 	0	 	0.7854	 	2	 	0	 	 	-1.152
99	 	-1.5	 	0	 	1.571	 	0	 	1	 	 	-1.808
100	 	-1.5	 	0	 	1.571	 	1	 	1	 	 	50.16
101	 	-1.5	 	0	 	1.571	 	2	 	1	 	 	-1.836
102	 	-1.5	 	0	 	2.356	 	0	 	1	 	 	-2.898
103	 	-1.5	 	0	 	2.356	 	1	 	1	 	 	46
104	 	-1.5	 	0	 	2.356	 	2	 	1	 	 	-2.406
105	 	-1.5	 	0	 	3.142	 	0	 	1	 	 	-2.997
106	 	-1.5	 	0	 	3.142	 	1	 	1	 	 	33.83
107	 	-1.5	 	0	 	3.142	 	2	 	1	 	 	-2.997
108	 	-1.5	 	0.5	 	-3.142	 	0	 	2	 	 	-3.994
109	 	-1.5	 	0.5	 	-3.142	 	1	 	2	 	 	-4.747
110	 	-1.5	 	0.5	 	-3.142	 	2	 	2	 	 	-3.936
111	 	-1.5	 	0.5	 	-2.356	 	0	 	2	 	 	-3.717
112	 	-1.5	 	0.5	 	-2.356	 	1	 	2	 	 	-3.095
113	 	-1.5	 	0.5	 	-2.356	 	2	 	2	 	 	-2.97
